# xs, ys, ls, ks
3.415419997539995742e-06,9.000009417965979530e-01,1.791154187786597962e+00,8.276400974715013570e-01
3.425266581914903425e-06,9.000009778657622750e-01,1.792912893626809945e+00,8.277564320274942711e-01
3.435141553786487677e-06,9.000010140219446564e-01,1.794673316663683460e+00,8.278727617396627325e-01
3.445044994995313265e-06,9.000010502653410516e-01,1.796435458012098696e+00,8.279890865133163746e-01
3.454976987617885138e-06,9.000010865961476370e-01,1.798199318878653363e+00,8.281054062520580850e-01
3.464937613967330287e-06,9.000011230145611441e-01,1.799964900559830827e+00,8.282217208578596113e-01
3.474926956594085110e-06,9.000011595207788595e-01,1.801732204440039897e+00,8.283380302310815457e-01
3.484945098286575162e-06,9.000011961149981810e-01,1.803501231989518505e+00,8.284543342706126579e-01
3.494992122071905056e-06,9.000012327974172832e-01,1.805271984762103710e+00,8.285706328738756676e-01
3.505068111216543294e-06,9.000012695682345631e-01,1.807044464392860039e+00,8.286869259368949692e-01
3.515173149227015138e-06,9.000013064276489727e-01,1.808818672595563726e+00,8.288032133544354085e-01
3.525307319850592943e-06,9.000013433758603520e-01,1.810594612634949696e+00,8.289194949918717858e-01
3.535470707075989877e-06,9.000013804130750916e-01,1.812372304618866892e+00,8.290357703955152369e-01
3.545663395134058297e-06,9.000014175394944749e-01,1.814151753986061211e+00,8.291520393933651256e-01
3.555885468498484744e-06,9.000014547553184530e-01,1.815932960290152165e+00,8.292683019254941668e-01
3.566137011886493399e-06,9.000014920607469771e-01,1.817715923192596561e+00,8.293845579296865722e-01
3.576418110259545313e-06,9.000015294559806645e-01,1.819500642462385187e+00,8.295008073414525951e-01
3.586728848824043137e-06,9.000015669412205765e-01,1.821287117975651126e+00,8.296170500940873715e-01
3.597069313032039238e-06,9.000016045166684409e-01,1.823075349715193916e+00,8.297332861187149966e-01
3.607439588581948907e-06,9.000016421825259849e-01,1.824865337769912887e+00,8.298495153442703165e-01
3.617839761419231793e-06,9.000016799389957134e-01,1.826657082334142146e+00,8.299657376976237178e-01
3.628269917737149573e-06,9.000017177862805751e-01,1.828450583706899613e+00,8.300819531035855681e-01
3.638730143977449513e-06,9.000017557245838518e-01,1.830245842291027270e+00,8.301981614849232027e-01
3.649220526831088252e-06,9.000017937541093804e-01,1.832042858592233259e+00,8.303143627624544054e-01
3.659741153238950933e-06,9.000018318750615531e-01,1.833841633218029177e+00,8.304305568550681693e-01
3.670292110392571610e-06,9.000018700876447619e-01,1.835642166876556347e+00,8.305467436797815406e-01
3.680873485734855339e-06,9.000019083920645091e-01,1.837444460375304400e+00,8.306629231517864698e-01
3.691485366960803662e-06,9.000019467885264079e-01,1.839248514619710173e+00,8.307790951845103189e-01
3.702127842018240515e-06,9.000019852772362938e-01,1.841054330611642254e+00,8.308952596896302945e-01
3.712800999108541949e-06,9.000020238584010013e-01,1.842861909447762070e+00,8.310114165771730343e-01
3.723504926687366693e-06,9.000020625322273649e-01,1.844671252317759080e+00,8.311275657555959873e-01
3.734239713465389260e-06,9.000021012989229963e-01,1.846482360502458286e+00,8.312437071317636539e-01
3.745005448409034328e-06,9.000021401586958403e-01,1.848295235371794298e+00,8.313598406110408456e-01
3.755802220741217046e-06,9.000021791117540637e-01,1.850109878382649065e+00,8.314759660973970457e-01
3.766630119942077834e-06,9.000022181583068326e-01,1.851926291076550157e+00,8.315920834934097394e-01
3.777489235749728195e-06,9.000022572985632019e-01,1.853744475077225839e+00,8.317081927003613373e-01
3.788379658160992293e-06,9.000022965327330038e-01,1.855564432088008475e+00,8.318242936183114500e-01
3.799301477432160390e-06,9.000023358610265145e-01,1.857386163889091613e+00,8.319403861461217575e-01
3.810254784079707553e-06,9.000023752836571189e-01,1.859209680666377595e+00,8.320564700346129161e-01
3.821239668881089016e-06,9.000024148008387570e-01,1.861034993253808612e+00,8.321725450250143652e-01
